dNdx,percent_deltas,track_length
117.468,0,2.74117
115.232,0,3.37579
108.066,0,3.1925
222.293,0,0.319398
136.285,0,1.63628
118.447,0,2.65942
111.135,0,3.23931
97.8468,0,3.83252
726.574,0,0.194062
147.335,0,2.1855
263.357,0,0.691077
129.186,0,1.96616
94.2357,0,4.19162
1323.29,0,0.10882
175.999,0,1
89.0275,0,1.01092
108.15,0,2.87563
299.437,0,0.434148
161.486,0,1.68436
116.171,0,2.18643
118.896,0,2.41388
606.517,0.505051,0.326454
221.185,0,0.592265
174.143,0,1.07957
177.934,0,1.19707
216.934,0,0.373385
189.435,0,1.5467
129.964,0,2.55456
830.34,0,0.269769
1541.91,0,0.0745828
252.848,0,0.486458
331.898,0,0.536309
118.103,0,1.80351
101.847,0,3.34815
262.197,0,0.690322
195.445,0,1.0847
297.175,0,0.609069
114.412,0,3.43495
111.08,0,3.27692
294.899,0,0.600205
142.077,0,1.35138
831.3,0,0.348851
250.163,0,0.443711
106.955,0,3.31915
124.797,0,1.77087
112.515,0,3.40399
129.074,0,3.02151
115.223,0,2.84666
576.775,0,0.348489
128.148,0,2.97313
129.46,0,2.5336
158.57,0,1.59551
296.996,0,0.437716
167.909,0,2.03681
152.306,0,1.91063
307.616,0,0.633907
652.416,0,0.197727
108.439,0,3.63337
148.54,0,1.28585
154.059,0,1.79152
158.777,0,1.7194
148.469,0,1.85897
126.541,0,1.48569
124.941,0,2.20904
2454.23,0,0.036264
99.8515,0,3.02449
421.051,0,0.494002
134.226,0,2.28718
187.375,0,0.90727
147.34,0,2.14471
134.783,0,2.73031
93.4049,0,1.20979
119.38,0,2.9737
235.302,0,0.582231
80.3815,0,1.57997
278.079,0,0.704834
815.448,0,0.0870687
160.433,0.408163,1.52712
114.69,0,3.4615
97.4884,0,3.46708
104.786,0,3.34013
113.721,0,3.236
118.736,0,2.84664
1124.26,0,0.0782737
197.277,0,0.958046
128.153,0,3.17588
118.162,0,3.59676
117.765,0,3.15033
1005.93,0,0.0974224
200.623,0,0.89222
1063.35,0,0.0959237
587.828,0,0.401478
709.739,0,0.318427
290.182,0,0.489348
153.722,0,1.88002
114.063,0,4.09423
129.662,0,2.306
129.461,0.282486,2.73441
236.139,0,0.287966
126.515,0,2.50564
1229.19,0,0.102507
153.299,0,1.80041
147.793,0,2.10429
157.065,0,2.09467
114.62,0,1.36102
110.661,0,1.96094
220.82,0,0.602301
85.3509,0,0.433504
114.836,0.262467,3.31776
510.995,0,0.273975
921.25,0,0.10095
1489.69,0,0.0396056
118.77,0.357143,2.3575
152.284,0,1.79927
160.753,0,1.72936
194.705,0,1.04261
165.629,0,1.20148
134.141,0,2.28864
272.744,0,0.843282
459.887,0,0.380528
252.817,0,0.747576
247.031,0.510204,0.793424
253.146,0,0.584642
138.953,0,1.38896
26356.7,0,0.00610851
394.046,0,0.317222
164.025,0,1.58513
149.86,0,1.63486
129.552,0,2.90232
248.397,0,0.29791
153.16,0,1.22747
171.894,0,1.50093
135.4,0,2.42983
109.228,0,3.16768
257.892,0,1.1594
239.543,0,0.409113
140.124,0,2.04819
329.965,0,0.478838
115.034,0,2.49491
125.292,0,3.13668
186.684,0,1.15703
908.115,0,0.144255
129.445,0,2.45664
312.974,0,0.747666
147.504,0,1.32878
138.521,0,3.27749
110.563,0,3.56357
122.441,0,1.53543
195.107,0.613497,0.83544
145.018,0,1.57911
151.511,0,1.65664
130.704,0,3.0833
341.656,0,0.474161
121.58,0,3.03503
121.553,0,1.90864
121.249,0,3.09281
242.419,0,0.280506
167.331,0,1.17133
139.525,0,2.39384
178.659,0,1.15303
133.877,0,2.48735
11444.4,0,0.00410682
246.456,0,0.470673
302.764,0,0.465709
187.752,0,1.486
179.141,0,0.988046
276.056,0,0.528879
115.375,0,2.7649
173.326,0,1.14813
654.342,0,0.302594
140.177,0,1.8548
112.599,0,3.31264
153.252,0.628931,1.03751
245.491,0,0.570286
1058.17,0,0.108678
182.694,0,0.853887
89.912,0.348432,3.19201
129.525,0,2.78711
394.478,0,0.403064
174.002,0,1.24137
139.247,0,3.29629
454.192,0,0.30824
159.718,0,1.45256
553.368,0,0.312631
1271.93,0,0.0967038
143.221,0,1.96898
323.267,0,0.352649
