dNdx,percent_deltas,track_length
129.221,0,1.8805
105.422,0,1.29954
113.879,0,1.95822
115.235,0,2.22155
209.691,0,0.848869
125.145,0,3.14835
177.024,0,1.22582
122.925,0,2.21273
510.07,0,0.252906
121.843,0.460829,1.78099
110.895,0,3.11106
132.169,0,2.13363
148.119,0,1.66082
526.15,0,0.237575
189.77,0,1.39116
11334.6,0,0.00988121
402.897,0,0.347484
121.585,0,3.42148
104.7,0,3.40019
176.976,0,1.01709
152.722,0.699301,0.936342
176.268,0,1.23108
133.025,0,2.30784
123.704,0,2.76466
134.252,0,2.42826
125.034,0,2.01545
194.732,0,1.53544
130.13,0,1.41397
140.076,0,1.92752
156.962,0,1.32516
144.425,0,1.96641
134.262,0,2.04078
394.974,0,0.473448
40.3652,0,4.58315
122.875,0,2.82402
479.524,0,0.325323
113.433,0,2.90039
251.496,0,0.632218
210.969,0,0.701526
117.44,0,3.23568
109.879,0,3.25813
155.827,0,2.42576
129.959,0,2.51618
139.785,0,2.28207
118.085,0,3.02323
159.575,0,1.22199
115.725,0,3.11083
184.991,0,1.07032
128.724,0,1.49933
197.17,0,1.03464
166.487,0,1.2073
106.952,0,3.59974
426.792,0,0.213218
142.96,0,2.08451
133.675,0,2.74546
105.142,0,3.6617
133.638,0,1.92311
172.449,0,1.06698
168.244,0,1.48593
92.2536,0,0.249313
364.242,0,0.573794
88.5809,0,3.60123
1167.08,0,0.107105
178.147,0,1.08337
153.178,0,1.7039
420.347,0,0.292616
101.356,0,3.63078
7347.07,0,0.0167414
182.828,0,1.12127
107.469,0.266667,3.48937
117.234,0,2.32868
313.199,0,0.571521
100.851,0.333333,2.97469
99.7189,0,3.21905
163.087,0,1.58198
269.799,0,0.77465
287.872,0,0.441168
173.455,0,1.26258
181.655,0,1.13401
101.029,0,3.53363
220.299,0,0.926015
329.53,0,0.515886
126.458,0,1.33642
122.608,0,1.99823
145.147,0,1.82573
105.709,0,3.59477
114.27,0,3.16794
139.742,0,2.44737
103.891,0.224719,4.28333
175.555,0,0.843042
1350.64,0,0.136973
117.647,0,1.785
153.833,0,1.41062
207.538,0,0.978132
121.343,0,3.55192
105.223,0,2.06229
206.278,0,0.450847
139.695,0,1.98289
124.164,0,3.34237
161.236,0,1.88544
184.385,0,0.856902
154.037,0,0.863429
109.593,0.306748,2.97464
119.251,0,2.61633
124.686,0,2.57447
419.519,0,0.348018
188.055,0,0.941212
139.783,0,0.987244
101.763,0,4.6284
495.533,0,0.585229
110.099,0,3.56043
121.402,0,2.92416
433.076,0,0.0877444
118.713,0,3.43686
878.053,0,0.252832
234.414,0,0.430861
410.117,0,0.314544
173.638,0,1.58951
141.289,0,2.27902
135.531,0.263852,2.7964
116.951,0,2.55663
132.223,0,2.17813
157.858,0,1.75474
132.609,0,2.27737
127.15,0,0.998819
171.882,0,1.86174
246.563,0,0.592141
112.233,0,3.33234
195.77,0,0.868365
82.1772,0,1.59412
185.585,0,0.732818
119.147,0,1.51913
161.56,0,1.6712
110.501,0,2.51582
115.801,0,2.772
111.553,0,2.45622
138.138,0,1.96181
217.886,0,0.683844
126.226,0,3.14516
155.634,0,1.86977
105.129,0,3.938
845.103,0,0.184593
265.167,0,0.923947
182.582,0,1.10635
138.479,0,1.10486
158.231,0,1.32717
147.941,0,1.39245
147.145,0,0.842706
132.795,0,1.66422
179.147,0,1.46249
117.297,0,1.69655
412.616,0,0.254474
248.213,0,1.3013
132.886,0,2.88217
186.767,0,1.26361
452.31,0,0.451019
114.392,0,2.50018
343.524,0,0.730663
163.541,0,1.24739
139.958,0.588235,1.21465
515.593,0,0.287048
156.347,0,1.79728
199.094,0,0.843822
112.208,0,2.44188
251.982,0,0.591311
171.068,0,1.13405
150.583,0,1.52739
882.606,0,0.109902
105.409,0.280899,3.37732
1422.83,0,0.0646599
108.816,0,4.30084
91.1899,0,3.99167
152.062,0,2.4398
115.473,0,2.18232
197.45,0,0.572298
109.338,0,2.79865
155.458,0,1.69177
1141.88,0,0.109469
140.804,0,2.17323
137.474,0.319489,2.27679
166.097,0,1.36667
142.227,0,1.82103
139.464,0,2.00768
124.802,0.258398,3.1009
125.592,0,3.02566
1203.41,0,0.122984
238.285,0,0.470026
131.799,0,3.30049
136.721,0,2.1138
374.553,0,0.3631
134.426,0,2.98306
142.144,0,2.20199
291.252,0,0.216308
101.152,0,3.26242
111.227,0,3.50633
402.971,0,0.483906
92.0625,0,3.29124
211.238,0,0.885256
271.072,0.438596,0.841105
177.723,0,1.44045
111.038,0,4.4219
240.504,0,0.898113
6574.39,0,0.0187089
134.191,0,2.17601
189.359,0,0.976981
197.101,0,0.892942
133.924,0,1.77713
115.002,0,2.91299
217.355,0,1.26061
273.985,0,0.616822
118.393,0,3.41237
106.896,0,4.02258
231.578,0,1.26091
363.904,0,0.291285
182.188,0,1.25694
107.503,0,3.87895
789.661,0,0.221614
119.569,0,3.01081
260.371,0,0.622188
147.971,0,2.36533
331.216,0,0.392493
184.422,0,1.24714
120.464,0,3.22089
124.732,0,2.30094
131.764,0,1.80626
112.555,0,1.38599
222.727,0,1.04612
152.871,0,2.48575
120.621,0,2.64464
132.095,0,2.3468
795.313,0,0.103104
116.945,0,3.12114
143.883,0,2.06418
119.934,0,2.90159
110.867,0,2.99457
114.66,0,2.18035
219.009,0,1.31045
117.306,0,3.48662
114.257,0,2.78321
147.068,0,1.31232
130.37,0,1.75654
8330.44,0,0.0238883
278.089,0,0.370386
133.249,0,2.8368
138.6,0,2.29437
153.151,0,1.9915
128.843,0,2.9571
159.335,0,1.33681
174.052,0,1.2525
281.081,0,0.572789
295.854,0,0.250123
233.518,0,0.693737
1012.41,0,0.137295
