dNdx,percent_deltas,track_length
164.836,0,1.01313
118.512,0,2.47231
134.869,0,1.61638
116.394,0,1.46914
119.662,0,2.25635
353.17,0,0.47286
181.672,0,1.33757
505.96,0,0.252985
113.739,0,2.83104
110.06,0,3.30728
129.711,0,2.64433
146.774,0,1.3422
132.68,0,2.72084
122.366,0,3.179
671.093,0,0.14305
152.752,0.28169,2.32403
185.173,0,1.11787
117.335,0,1.71305
119.383,0,2.86473
143.416,0,1.10866
210.363,0,0.99352
112.112,0,4.33494
179.591,0,0.701595
150.553,0,1.87974
173.096,0,1.13809
137.677,0,1.45267
158.212,0,1.44742
210.423,0,0.969476
124.655,0,3.32918
229.944,0,0.704519
119.993,0,1.66676
189.222,0,1.3212
231.323,0,0.51011
102.65,0,4.06233
118.455,0,1.84037
137.772,0,1.8654
118.748,0,3.48637
177.89,0,0.635225
136.682,0,2.34119
657.329,0,0.209941
215.055,0,1.08344
132.715,0,2.10226
111.678,0,3.73394
115.763,0,3.56762
212.949,0,1.5168
144.417,0.301205,2.2989
116.839,0.224719,3.80864
279.212,0,0.608857
9907.7,0,0.0121118
123.349,0,3.08069
238.865,0,0.657276
137.056,0,1.61248
111.203,0,3.3992
882.046,0,0.143983
108.01,0,2.29609
118.679,0,3.20192
123.883,0,3.7051
222.713,0,0.462478
160.513,0,2.1992
115.211,0,3.4719
127.391,0,2.72389
148.793,0,1.94902
135.293,0,1.98089
114.082,0,3.62021
115.872,0,3.89224
266.243,0,0.495788
133.319,0,1.14763
339.192,0,0.51888
182.183,0,1.2954
122.517,0,2.44048
142.756,0,1.93337
1449.97,0,0.116554
257.787,0,0.865054
172.326,0,1.1664
128.105,0,2.70091
123.674,0,1.23713
115.96,0,3.3201
144.66,0,1.86644
133.181,0,2.67306
193.099,0,1.14967
158.302,0,1.22551
117.078,0,2.92113
130.883,0,2.79638
503.686,0,0.238244
165.389,0,1.55996
142.745,0,1.12088
143.647,0,2.08149
298.161,0,0.499731
122.68,0,2.78773
137.475,0,2.42225
177.236,0,1.22435
168.792,0,1.79511
196.524,0,1.50109
210.119,0,0.847141
145.928,0,2.17915
244.912,0,0.734957
144.235,0,2.43352
119.243,0,3.32934
131.801,0,1.26706
263.043,0,0.539835
144.287,0,1.54553
253.556,0,0.607362
400.875,0,0.254443
151.226,0,2.44667
175.966,0,1.10817
198.123,0,1.01957
176.895,0,0.633145
256.76,0,0.958092
288.314,0,0.527204
244.557,0,0.862784
169.018,0,1.08864
114.914,0,2.80209
660.649,0,0.190722
205.344,0,1.02755
280.492,0,0.467037
230.174,0,1.05573
116.051,0,3.45538
96.2755,0,0.508956
118.785,0,3.23273
193.723,0,1.0324
164.3,0,1.72854
108.335,0,2.78766
85.0626,0,3.16238
144.405,0,1.94592
154.215,0,0.680869
125.227,0,2.22795
208.988,0,0.91393
187.071,0,1.34708
120.974,0,3.3561
152.331,0,0.768063
532.608,0,0.108898
137.653,0,1.86701
149.981,0,1.38685
1120,0,0.126785
135.911,0,2.25884
109.287,0,3.9712
535.111,0.531915,0.351329
179.606,0,1.66475
132.045,0,1.93873
113.549,0,3.54034
150.094,0,1.73225
127.735,0,2.88097
221.949,0,0.558686
197.903,0,1.03586
414.028,0,0.388863
165.404,0,1.11243
97.933,0,3.44113
257.907,0,0.725068
147.742,0,1.46201
247.243,0,1.4237
133.139,0,1.95284
114.281,0,2.99264
166.03,0,1.24676
145.668,0,2.1144
107.46,0,1.83325
197.849,0,0.793536
132.764,0,1.9207
439.139,0.900901,0.252767
147.562,0,0.969081
107.207,0,3.72177
378.792,0,0.308876
237.759,0,0.48789
181.874,0,0.571825
125.997,0.333333,2.381
231.896,0,0.638217
122.443,0,2.98098
1264.81,0,0.0806444
132.714,0,1.69537
193.528,0,1.01277
244.96,0,0.551111
142.479,0.288184,2.43545
114.654,0,2.39852
187.058,0,1.03711
156.838,0,1.7534
149.431,0,1.86708
511.837,0,0.259848
365.883,0,0.576686
124.427,0,3.0781
113.276,0,3.16041
410.55,0,0.280112
178.178,0,0.881143
110.618,0,3.67932
521.055,0,0.255251
569.343,0,0.338987
229.839,0,1.19649
529.151,0,0.137957
276.297,0,0.372787
151.981,0,1.36859
155.061,0,1.19953
317.21,0,0.201759
128.472,0.324675,2.39742
188.334,0,1.23186
164.88,0,2.00145
142.168,0,1.9273
331.328,0,0.573449
175.6,0.469484,1.21298
135.737,0,2.59325
2579.37,0,0.0585415
802.867,0,0.0685045
148.519,0,1.92568
138.81,0,2.32692
686.112,0,0.227368
126.421,0,1.55037
653.093,0,0.327672
126.116,0,3.43334
126.313,0,2.47796
1110.51,0,0.140476
197.81,0,0.925132
427.095,0,0.337162
136.684,0,1.47786
245.076,0,0.942566
858.618,0,0.0652211
157.414,0,1.94392
232.429,0,0.95513
162.747,0,1.47468
309.433,0,0.349025
183.242,0,1.44072
119.025,0,2.36924
190.008,0,1.2789
123.427,0,2.98151
185.769,0,1.08199
178.018,0,1.07855
119.185,0,3.33933
634.166,0,0.119842
190.616,0.884956,0.592816
101.295,0,2.84318
113.862,0,4.07511
126.903,0,3.37266
117.976,0,3.31423
340.43,0,0.898863
103.924,0,3.93558
115.926,0.27933,3.08818
183.507,0,0.882802
109.684,0,2.80807
125.689,0,3.16655
119.511,0,2.76126
113.102,0,3.25369
98.0378,0,3.10084
141.107,0,2.27486
109.167,0,3.19695
126.59,0,2.68584
96.4984,0,4.1037
151.99,0,1.57905
116.829,0,2.76472
77.641,0,0.450793
171.414,0,0.910075
176.559,0,0.804265
515.063,0,0.149496
317.039,0,0.716
155.159,0,1.37923
208.587,0,1.13621
152.011,0,1.59199
119.479,0,3.29766
98.2053,0,4.31749
11111.6,0,0.00818967
159.428,0,1.5932
187.342,0,1.32912
150.904,0,1.04039
109.697,0,3.17238
134.3,0,1.92108
158.553,0,1.71551
147.407,0,1.74347
102.622,0,3.34236
174.556,0,0.847866
126.249,0,3.33467
211.32,0,0.993754
111.553,0,2.78791
104.464,0,3.08241
153.99,0,1.83129
178.303,0,1.1946
114.243,0,2.62598
174.856,0,1.27533
228.372,0,0.792565
637.655,0,0.0846853
144.26,0,2.07264
119.837,0,1.719
193.935,0,0.82502
181.732,0,1.02349
277.022,0,0.577572
141.497,0,1.8799
199.072,0,1.30104
200.986,0,1.13938
220.886,0,1.00052
174.338,0,1.39958
149.657,0,1.81749
973.951,0,0.125263
137.016,0,0.912305
162.285,0,1.92254
101.244,0,3.8817
119.676,0.259067,3.22537
3061.61,0,0.0372353
98.5725,0,3.58112
117.844,0,2.79183
143.135,0,1.86537
121.865,0,3.08538
178.181,0,1.22347
225.775,0,0.571364
159.976,0,0.887636
119.683,0,2.80741
107.805,0,2.83846
509.918,0,0.252982
306.798,0,0.466104
105.828,0,2.26783
175.196,0.571429,0.998882
159.024,0,0.723159
126.914,0,2.26925
155.501,0,1.34404
141.335,0,1.59196
225.375,0,0.745425
143.657,0,2.0883
686.111,0,0.220081
133.394,0,2.204
126.513,0,2.69538
175.467,0,0.609802
279.343,0,0.501176
114.827,0,2.95228
174.012,0,1.55736
164.62,0,1.33033
975.49,0,0.103538
260.889,0,0.482963
141.322,0,1.6841
110.295,0,4.11625
