energies,initx,inity,initz,tot_dist,dEdx,beta_gamma
1999.43,275.362,828.474,55.8572,706.346,0.000288731,19.8984
1999.39,316.487,1026.46,68.4786,908.223,0.000273944,19.8981
1999.46,107.499,-212.236,53.2705,79.9539,0.000980728,19.8987
1999.43,149.383,-287.962,72.6461,164.539,0.000486639,19.8984
1999.4,205.75,-384.836,97.7465,275.007,0.000327683,19.8982
1999.36,322.502,-569.754,146.742,498.547,0.000302727,19.8978
1999.32,448.218,-749.183,195.832,722.474,0.000288729,19.8973
1999.26,571.786,-909.292,241.165,928.999,0.000273942,19.8969
1999.22,-159.816,-176.317,27.9942,78.5656,0.000980714,19.8964
1999.16,-215.634,-242.419,38.2398,161.681,0.000486631,19.8959
1999.13,-286.064,-329.525,51.5003,270.226,0.000327678,19.8956
1999.08,-417.415,-504.354,77.3818,489.864,0.000302722,19.8951
1999.03,-540.617,-685.526,103.299,709.867,0.000288724,19.8946
1998.99,-646.574,-857.635,127.211,912.754,0.000273938,19.8943
1999.52,-72.4382,-226.679,-131.763,89.1883,0.000980732,19.8993
1999.48,-95.4817,-310.107,-179.697,183.552,0.00048664,19.8989
1999.43,-122.647,-418.749,-241.723,306.805,0.000327684,19.8984
1999.39,-167.124,-632.947,-362.911,556.272,0.000302728,19.898
1999.32,-200.15,-849.83,-484.465,806.289,0.000288729,19.8974
1999.28,-220.286,-1051.23,-596.605,1036.99,0.000273942,19.897
1999.93,81.1702,193.296,-337.339,1.79796,0.00121537,19.9032
1999.86,90.855,219.92,-382.9,38.7658,0.000980752,19.9025
1999.79,118.571,302.047,-522.301,195.263,0.000486649,19.9019
1999.74,150.128,409.732,-702.77,399.84,0.00032769,19.9013
1999.65,192.572,596.583,-1011,761.689,0.000293624,19.9006
1999.45,182.862,152.298,150.15,92.3071,0.000980728,19.8986
1999.41,247.051,210.29,204.842,189.974,0.000486638,19.8982
1999.38,328.275,287.455,275.689,317.547,0.000327683,19.898
1999.33,480.499,444.708,414.091,575.77,0.000302727,19.8975
1999.28,624.117,610.551,552.809,834.583,0.000288728,19.897
1999.23,748.319,770.5,680.857,1073.46,0.000273941,19.8965
1999.01,-237.105,19.6367,-123.758,87.9397,0.000980702,19.8945
1998.98,-323.647,23.4012,-168.8,180.98,0.000486626,19.8942
1998.96,-435.598,25.5779,-227.013,302.496,0.000327675,19.8939
1998.91,-654.29,21.0839,-340.748,548.44,0.000302719,19.8935
1998.86,-873.06,4.97432,-454.818,794.907,0.000288721,19.893
1998.76,-1073.96,-20.1544,-560.089,1022.32,0.000273934,19.8921
1999.48,229.888,61.3566,-31.2043,78.6878,0.000980729,19.8989
1999.46,312.651,86.6067,-42.5639,161.935,0.000486639,19.8987
1999.44,419.095,121.589,-57.2706,270.653,0.000327684,19.8985
1998.71,624.218,197.286,-86.0044,490.65,0.000302715,19.8916
1998.67,825.963,282.747,-114.808,711.016,0.000288717,19.8912
1998.48,1008.38,370.012,-141.427,914.245,0.000273929,19.8894
1999.47,-91.8835,219.533,-124.896,88.1178,0.000980729,19.8988
1999.44,-128.399,297.978,-170.313,181.347,0.000486639,19.8985
1999.41,-178.07,398.321,-229.077,303.11,0.000327684,19.8982
1999.36,-282.909,590.399,-343.939,549.554,0.000302727,19.8978
1999.31,-398.031,777.071,-459.06,796.518,0.000288729,19.8973
1999.27,-512.92,943.733,-565.322,1024.4,0.000273942,19.8969
1999.45,234.632,-39.4707,-78.7758,82.1904,0.000980728,19.8986
1999.41,320.447,-50.7449,-107.458,169.146,0.000486638,19.8982
1999.39,431.82,-62.8499,-144.593,282.713,0.000327683,19.898
1999.33,649.939,-78.3857,-217.056,512.523,0.000302726,19.8975
1999.28,869.109,-83.178,-289.69,742.749,0.000288728,19.897
1999.23,1071.27,-78.0219,-356.719,955.112,0.000273941,19.8965
1999.47,116.618,207.469,54.1165,80.0112,0.000980729,19.8988
1999.45,156.334,284.349,73.7779,164.654,0.000486639,19.8986
1999.42,205.549,384.93,99.218,275.196,0.000327684,19.8983
1999.37,294.455,584.691,148.9,498.883,0.000302727,19.8979
1999.32,373.887,789.008,198.697,722.954,0.000288729,19.8974
1999.28,438.354,980.598,244.615,929.608,0.000273942,19.897
1999.54,-38.3521,-234.804,5.87545,78.0439,0.000980733,19.8994
1999.5,-49.3044,-320.64,8.08957,160.61,0.000486641,19.899
1999.47,-61.1192,-432.023,10.9621,268.437,0.000327685,19.8988
1999.43,-76.4877,-650.218,16.579,486.62,0.000302728,19.8984
1999.38,-81.6365,-869.242,22.2141,705.163,0.00028873,19.898
1999.35,-77.2668,-1071.3,27.4025,906.699,0.000273943,19.8976
1999.42,33.5488,-235.551,-70.3307,81.3599,0.000980726,19.8983
1999.39,48.8329,-320.758,-95.9335,167.435,0.000486638,19.898
1999.36,71.045,-430.539,-129.062,279.85,0.000327683,19.8978
1999.32,122.269,-643.12,-193.746,507.334,0.000302726,19.8974
1999.27,183.972,-853.496,-258.594,735.224,0.000288728,19.8969
1999.24,249.932,-1044.62,-318.405,945.419,0.000273942,19.8966
1999.36,237.798,9.48374,55.2463,80.0986,0.000980722,19.8978
1999.3,324.081,16.0056,75.3587,164.839,0.000486635,19.8972
1999.27,435.525,26.8738,101.377,275.506,0.000327681,19.8969
1999.14,652.233,55.9665,152.197,499.449,0.000302723,19.8957
1999.1,867.787,95.521,203.167,723.787,0.000288725,19.8953
1999.06,1064.78,141.166,250.164,930.681,0.000273939,19.8949
1999.93,-111.206,-135.377,209.825,8.5443,0.0022044,19.9032
1999.84,-149.129,-185.465,285.052,99.863,0.00098075,19.9023
1999.79,-199.633,-255.759,388.709,228.721,0.000486649,19.9018
1999.76,-262.008,-348.932,522.998,397.101,0.00032769,19.9015
1999.69,-373.692,-537.563,785.597,738.255,0.000302733,19.9009
1999.63,-471.623,-734.73,1049.29,1080.78,0.000288734,19.9003
1999.62,-477.063,-746.845,1065.19,1100.4,0.000282935,19.9003
1999.9,-53.1949,252.102,-491.077,4.18483,0.000597663,19.9028
1999.88,-59.5624,274.858,-536.083,29.5337,0.00054517,19.9027
1999.85,-71.8823,316.422,-618.636,118.474,0.000486651,19.9024
1999.8,-107.652,422.869,-832.476,351.013,0.000327691,19.902
1999.76,-137.122,499.103,-988.097,525.466,0.000297831,19.9016
1999.5,197.791,132.214,-20.4376,78.3052,0.00098073,19.899
1999.46,268.076,182.838,-27.8779,161.148,0.00048664,19.8987
1185.33,359.222,247.755,-37.5219,269.27,0.000307858,2320.64
1185.28,529.471,385.108,-56.3963,488.287,0.000284411,2320.54
1185.23,688.496,536.927,-75.3445,708.357,0.000271259,2320.43
1185.19,824.038,688.992,-92.8737,912.203,0.000257367,2320.35
496.478,343.223,239.371,-36.2712,1015.89,0.000281348,inf
496.478,517.686,370.916,-55.8482,1234.58,0.000259921,inf
496.478,692.11,502.431,-75.4206,1453.23,0.000247903,inf
496.478,852.583,623.427,-93.4277,1654.43,0.000235208,inf
422.75,339.168,245.083,-35.5039,1758.6,0.000278111,inf
422.75,502.799,390.86,-53.0676,1977.72,0.00025693,inf
422.75,666.144,536.381,-70.6006,2196.5,0.00024505,inf
422.75,816.338,670.187,-86.722,2397.71,0.000232501,inf
1999.93,-98.2137,-182.405,-305.529,14.5555,0.00137617,19.9031
1999.89,-111.58,-210.175,-350.932,66.6838,0.000980753,19.9028
1999.8,-147.395,-289.077,-478.583,213.789,0.000486649,19.9019
1999.76,-189.853,-392.909,-643.819,406.039,0.00032769,19.9016
1999.66,-259.951,-600.841,-966.351,795.179,0.000302732,19.9006
1999.65,-271.118,-640.318,-1026.63,866.847,0.000289131,19.9005
1999.94,106.266,-175.989,-305.522,11.8115,0.00137617,19.9032
1999.9,124.262,-202.934,-353.666,64.246,0.000980754,19.9029
1999.82,173.99,-273.866,-482.37,212.21,0.00048665,19.9022
1999.79,241.839,-363.224,-649.066,405.603,0.000327691,19.9018
1999.71,385.343,-529.269,-975.326,797.794,0.000302733,19.9011
1999.71,407.291,-552.329,-1022.64,853.664,0.000292146,19.901
1999.48,-207.751,-116.101,-25.4498,78.4618,0.00098073,19.8989
1999.45,-281.753,-160.91,-34.6914,161.47,0.000486639,19.8986
1999.42,-376.262,-220.93,-46.6448,269.874,0.000327684,19.8983
1999.37,-556.625,-344.686,-69.9839,489.226,0.000302727,19.8978
1999.3,-731.259,-476.984,-93.3139,708.936,0.000288728,19.8972
1999.1,-886.687,-606.163,-114.848,911.549,0.000273939,19.8953
1999.92,178.9,84.5201,-273.56,14.799,0.00158051,19.9031
1999.86,214.414,103.231,-329.049,81.3901,0.000980752,19.9025
1999.81,290.062,145.352,-448.739,222.332,0.00048665,19.902
1992.59,386.027,203.488,-603.811,406.508,0.000327549,19.8336
1992.47,566.318,328.513,-906.499,779.369,0.000302602,19.8325
1992.45,639.413,385.692,-1034.49,936.362,0.000283443,19.8323
1991.53,641.631,387.495,-1038.44,939.02,0.000290717,19.8236
1999.93,-182.975,102.223,337.341,1.69505,0.00121537,19.9031
1999.9,-208.393,114.859,383.023,38.6834,0.000980754,19.9029
1999.84,-286.877,151.613,522.524,195.277,0.000486651,19.9023
1999.79,-390.349,195.079,703.187,399.982,0.000327691,19.9018
1999.71,-570.791,258.186,1011.04,761.246,0.000293625,19.9011
1998.72,106.657,-212.756,-88.471,83.2446,0.000980685,19.8917
1998.64,148.234,-288.579,-120.648,171.317,0.000486616,19.891
1998.61,204.299,-385.546,-162.322,286.339,0.000327668,19.8907
1998.57,320.871,-570.681,-243.734,519.113,0.000302713,19.8902
1998.52,446.797,-750.074,-325.325,752.336,0.000288715,19.8898
1998.48,570.837,-909.808,-400.595,967.469,0.000273929,19.8894
1999.76,-39.212,234.746,248.451,112.799,0.000980746,19.9015
1999.65,-57.767,319.315,338.838,232.179,0.000486645,19.9005
1999.62,-85.1519,428.008,455.852,388.145,0.000327688,19.9002
1999.56,-149.447,637.391,684.542,704.042,0.000302731,19.8997
1999.48,-228.121,842.743,914.142,1021.03,0.000288732,19.8989
1999.44,-301.949,1004.78,1100.14,1277.54,0.000275635,19.8985
1999.83,-88.8238,220.739,-271.112,103.517,0.00098075,19.9022
1999.79,-125.288,299.285,-369.796,228.724,0.000486649,19.9018
1999.75,-175.741,399.394,-497.534,392.31,0.00032769,19.9014
1999.63,-284.747,589.529,-747.277,723.683,0.000302732,19.9003
1999.57,-407.516,772.142,-998.001,1056.31,0.000288733,19.8998
1999.55,-448.848,827.784,-1076.96,1160.39,0.000276621,19.8996
1999.52,171.719,-164.691,93.2756,83.7946,0.000980732,19.8993
1999.48,236.388,-222.203,127.189,172.451,0.00048664,19.8989
1999.45,321.815,-294.751,171.111,288.24,0.000327684,19.8986
1999.37,493.782,-429.864,256.784,522.551,0.000302727,19.8978
1999.31,672.804,-556.473,342.675,757.308,0.000288729,19.8973
1999.27,843.419,-665.127,421.92,973.87,0.000273942,19.897
1999.49,-48.5246,-232.964,-104.182,85.1404,0.00098073,19.899
1999.44,-62.9863,-318.315,-141.996,175.216,0.000486639,19.8986
1999.42,-79.1453,-429.152,-190.923,292.859,0.000327684,19.8983
1999.36,-102.324,-646.623,-286.469,530.946,0.000302727,19.8978
1999.22,-114.388,-865.504,-382.208,769.489,0.000288727,19.8965
1999.17,-115.622,-1067.87,-470.579,989.545,0.000273941,19.896
1999.42,235.384,-35.1475,54.4229,80.0442,0.000980726,19.8983
1999.38,321.354,-44.9679,74.2788,164.727,0.000486637,19.8979
1999.35,432.853,-55.2536,99.9695,275.32,0.000327682,19.8977
1999.29,651.161,-67.4293,150.133,499.11,0.000302726,19.8971
1999.18,870.365,-69.1051,200.408,723.283,0.000288726,19.8961
1999.15,1072.36,-61.3092,246.758,930.031,0.00027394,19.8958
1999.45,220.877,88.4024,-80.2066,82.3449,0.000980728,19.8986
1996.86,300.02,123.495,-109.436,169.465,0.000486564,19.874
1996.82,401.327,171.245,-147.278,283.256,0.000327633,19.8737
1996.76,595.591,271.869,-221.219,513.537,0.00030268,19.8732
1996.72,784.979,382.173,-295.314,744.248,0.000288684,19.8727
1996.68,954.687,492.131,-363.706,957.064,0.0002739,19.8724
1998.82,210.342,111.208,-181.629,98.1641,0.00098069,19.8926
1998.78,285.093,154.968,-247.755,202.032,0.00048662,19.8922
1998.72,380.236,214.132,-333.278,337.7,0.00032767,19.8917
1998,560.735,337.895,-500.225,612.287,0.000302702,19.8849
1997.95,734.175,472.533,-667.686,887.577,0.000288705,19.8844
1997.9,887.035,605.767,-822.331,1141.75,0.00027392,19.8839
1999.95,-71.0737,157.366,209.834,4.6316,0.0022044,19.9034
1999.83,-100.322,215.767,289.227,96.7694,0.00098075,19.9022
1999.78,-141.065,292.204,394.529,226.781,0.000486649,19.9017
1999.74,-197.088,389.337,530.86,396.675,0.00032769,19.9013
1999.67,-316.979,572.799,797.43,740.946,0.000302733,19.9007
1999.61,-448.599,745.152,1061.22,1081.37,0.000288734,19.9002
1999.5,-217.071,97.423,-148.619,92.0058,0.000980731,19.8991
1999.43,-297.435,129.683,-202.749,189.357,0.000486639,19.8984
1999.4,-402.35,168.78,-272.739,316.513,0.000327683,19.8981
1999.34,-610.447,236.568,-409.549,573.891,0.000302727,19.8976
1999.29,-822.45,292.862,-546.667,831.862,0.000288728,19.8971
1999.25,-1020.73,334.351,-673.308,1069.96,0.000273942,19.8968
1999.94,161.805,-119.495,305.465,3.97978,0.00137617,19.9033
1999.89,192.402,-140.03,361.306,57.1335,0.000980753,19.9028
1999.84,265.484,-186.582,492.637,207.157,0.000486651,19.9023
1999.8,362.391,-243.138,662.693,403.243,0.000327691,19.9019
1999.72,558.665,-341.293,995.317,800.798,0.000302733,19.9011
1999.71,572.817,-347.581,1018.78,827.605,0.000295331,19.9011
1999.83,-163.977,172.493,220.749,106.418,0.00098075,19.9022
1999.79,-226.476,232.324,300.981,219.026,0.000486649,19.9018
1999.74,-309.659,307.472,404.941,366.136,0.00032769,19.9014
1999.67,-479.011,446.243,607.991,664.02,0.000302733,19.9007
1999.62,-657.534,574.374,811.773,962.814,0.000288734,19.9002
1999.57,-829.487,682.372,1000.07,1238.86,0.000273947,19.8998
1999.41,-141.457,191.327,-105.266,85.3042,0.000980725,19.8983
1999.38,-195.564,258.9,-143.522,175.552,0.000486637,19.898
1999.35,-267.552,344.646,-192.994,293.418,0.000327682,19.8976
1999.3,-414.591,506.618,-289.675,531.961,0.000302726,19.8972
1999.26,-570.112,661.25,-386.6,770.972,0.000288728,19.8968
1999.2,-720.41,796.653,-475.984,991.463,0.000273941,19.8962
1999.55,-168.726,-167.849,-64.5377,80.8317,0.000980733,19.8996
1999.52,-227.793,-231.034,-87.9697,166.349,0.000486641,19.8993
1999.5,-302.483,-314.56,-118.329,278.034,0.000327685,19.8991
1999.45,-442.161,-482.778,-177.566,504.037,0.000302729,19.8986
1999.39,-573.8,-657.971,-236.915,730.436,0.00028873,19.898
1999.33,-687.587,-825.122,-291.661,939.243,0.000273943,19.8975
1999.57,-84.3628,-222.527,-55.7534,80.1444,0.000980735,19.8998
1999.54,-112.098,-304.489,-76.0811,164.933,0.000486642,19.8994
1999.5,-145.668,-411.309,-102.392,275.666,0.000327685,19.899
1999.45,-203.652,-622.237,-153.833,499.747,0.000302729,19.8986
1999.4,-251.541,-836.061,-205.348,724.212,0.00028873,19.8982
1999.37,-286.53,-1035.16,-252.861,931.23,0.000273944,19.8979
1999.54,198.391,131.447,89.3293,83.3108,0.000980733,19.8995
1999.51,268.67,181.832,121.713,171.452,0.000486641,19.8992
1999.49,358.255,249.181,163.688,286.567,0.000327685,19.899
1999.42,527.981,387.11,245.593,519.522,0.000302728,19.8983
1999.37,690.948,533.675,327.651,752.908,0.00028873,19.8978
1999.33,834.702,676.055,403.392,968.191,0.000273943,19.8974
1999.38,28.3173,236.259,189.41,99.6952,0.000980724,19.898
1999.34,34.8382,322.596,258.259,205.176,0.000486636,19.8975
1999.31,40.2432,434.482,347.345,342.968,0.000327682,19.8973
1999.24,40.9333,653.411,521.505,621.958,0.000302725,19.8967
1999.16,28.4873,872.581,696.151,901.709,0.000288726,19.8959
1999.1,5.33831,1074.07,857.493,1160.03,0.000273939,19.8953
1999.4,-50.8992,-232.437,77.576,82.0587,0.000980725,19.8981
1999.36,-66.2618,-317.605,105.785,168.877,0.000486637,19.8977
1999.34,-83.6766,-428.301,142.309,282.261,0.000327682,19.8975
1999.29,-109.587,-645.439,213.592,511.711,0.000302726,19.8971
1999.17,-124.823,-864.069,285.062,741.589,0.000288726,19.896
1999.14,-129.327,-1066.32,351.036,953.622,0.00027394,19.8957
1999.84,-166.362,170.144,243.371,111.627,0.000980751,19.9023
1999.79,-229.866,228.955,331.909,229.755,0.000486649,19.9018
1999.75,-314.415,302.606,446.582,384.065,0.00032769,19.9015
1999.69,-486.623,437.92,670.647,696.635,0.000302733,19.9009
1999.63,-668.239,561.86,895.603,1010.27,0.000288734,19.9003
1999.58,-843.235,665.363,1103.66,1300.18,0.000273947,19.8998
1999.58,-843.254,665.373,1103.68,1300.18,0.000273947,19.8998
1999.85,175.06,-161.154,274.369,104.203,0.000980751,19.9024
1999.8,241.837,-216.359,374.223,230.221,0.00048665,19.902
1999.73,330.493,-284.935,503.398,394.876,0.00032769,19.9013
1999.65,510.839,-409.446,756.077,728.496,0.000302732,19.9005
1999.57,700.438,-521.225,1009.85,1063.4,0.000288733,19.8998
1999.54,748.856,-546.935,1073.04,1146.05,0.000278638,19.8995
1998.36,751.87,-548.499,1076.96,1148.15,0.000276601,19.8883
1999.43,236.924,-22.128,146.517,91.6111,0.000980726,19.8984
1999.4,323.353,-26.6806,199.756,188.53,0.000486638,19.8981
1999.36,435.379,-29.7604,268.703,315.126,0.000327683,19.8978
1999.31,654.135,-26.6822,403.296,571.366,0.000302726,19.8973
1999.23,873.039,-11.523,538.272,828.181,0.000288727,19.8966
1999.1,1073.98,13.2094,662.84,1065.22,0.000273939,19.8953
1999.35,71.4563,226.936,-38.6444,79.0414,0.000980721,19.8976
1999.32,94.5188,310.39,-52.6908,162.66,0.000486635,19.8973
1999.29,122.009,418.91,-70.8465,271.863,0.000327681,19.8971
