time_ns,signal
213.75,-0.00016435
214.25,-0.000164262
214.75,-0.000164175
215.25,-0.00016409
215.75,-0.000164007
216.25,-0.000163926
216.75,-0.000163847
217.25,-0.000163767
217.75,-0.000163686
218.25,-0.000163603
218.75,-0.000163517
219.25,-0.000163431
219.75,-0.000163344
220.25,-0.000163257
220.75,-0.000163169
221.25,-0.000163083
221.75,-0.000162996
222.25,-0.000162911
222.75,-0.000162827
223.25,-0.000162744
223.75,-0.000162662
224.25,-0.000162582
224.75,-0.000162504
225.25,-0.000162427
225.75,-0.000162353
226.25,-0.000162279
226.75,-0.000162206
227.25,-0.000162133
227.75,-0.000162058
228.25,-0.000161981
228.75,-0.000161902
229.25,-0.000161822
229.75,-0.000161742
230.25,-0.000161661
230.75,-0.00016158
231.25,-0.0001615
231.75,-0.000161421
232.25,-0.000161342
232.75,-0.000161265
233.25,-0.000161188
233.75,-0.000161113
234.25,-0.00016104
234.75,-0.000160968
235.25,-0.000160897
235.75,-0.000160828
236.25,-0.000160761
236.75,-0.000160694
237.25,-0.000160627
237.75,-0.000160558
238.25,-0.000160487
238.75,-0.000160414
239.25,-0.000160341
239.75,-0.000160266
240.25,-0.000160192
240.75,-0.000160117
241.25,-0.000160042
241.75,-0.000159968
242.25,-0.000159895
242.75,-0.000159823
243.25,-0.000159751
243.75,-0.000159681
244.25,-0.000159612
244.75,-0.000159544
245.25,-0.000159478
245.75,-0.000159414
246.25,-0.000159351
246.75,-0.000159288
247.25,-0.000159225
247.75,-0.000159164
248.25,-0.0001591
248.75,-0.000159034
249.25,-0.000158967
249.75,-0.000158898
250.25,-0.000158829
250.75,-0.00015876
251.25,-0.00015869
251.75,-0.000158621
252.25,-0.000158551
252.75,-0.000158483
253.25,-0.000158415
253.75,-0.000158348
254.25,-0.000158283
254.75,-0.000158218
255.25,-0.000158155
255.75,-0.000158093
256.25,-0.000158033
256.75,-0.000157974
257.25,-0.000157915
257.75,-0.000157856
258.25,-0.000157798
258.75,-0.00015774
259.25,-0.000157681
259.75,-0.000157619
260.25,-0.000157556
260.75,-0.000157492
261.25,-0.000157427
261.75,-0.000157362
262.25,-0.000157297
262.75,-0.000157232
263.25,-0.000157167
263.75,-0.000157103
264.25,-0.00015704
264.75,-0.000156977
265.25,-0.000156916
265.75,-0.000156855
266.25,-0.000156796
266.75,-0.000156738
267.25,-0.000156682
267.75,-0.000156626
268.25,-0.00015657
268.75,-0.000156515
269.25,-0.00015646
269.75,-0.000156406
270.25,-0.000156352
270.75,-0.000156295
271.25,-0.000156237
271.75,-0.000156178
272.25,-0.000156118
272.75,-0.000156057
273.25,-0.000155996
273.75,-0.000155934
274.25,-0.000155873
274.75,-0.000155813
275.25,-0.000155752
275.75,-0.000155693
276.25,-0.000155634
276.75,-0.000155577
277.25,-0.00015552
277.75,-0.000155465
278.25,-0.000155411
278.75,-0.000155358
279.25,-0.000155304
279.75,-0.000155251
280.25,-0.000155199
280.75,-0.000155146
281.25,-0.000155095
281.75,-0.000155044
282.25,-0.000154993
282.75,-0.000154939
283.25,-0.000154884
283.75,-0.000154828
284.25,-0.000154771
284.75,-0.000154714
285.25,-0.000154656
285.75,-0.000154599
286.25,-0.000154541
286.75,-0.000154484
287.25,-0.000154428
287.75,-0.000154372
288.25,-0.000154317
288.75,-0.000154263
289.25,-0.00015421
289.75,-0.000154158
290.25,-0.000154107
290.75,-0.000154055
291.25,-0.000154004
291.75,-0.000153954
292.25,-0.000153903
292.75,-0.000153854
293.25,-0.000153804
293.75,-0.000153756
294.25,-0.000153709
294.75,-0.00015366
295.25,-0.000153609
295.75,-0.000153557
296.25,-0.000153504
296.75,-0.00015345
297.25,-0.000153395
297.75,-0.000153341
298.25,-0.000153286
298.75,-0.000153232
299.25,-0.000153178
299.75,-0.000153125
300.25,-0.000153073
300.75,-0.000153021
301.25,-0.00015297
301.75,-0.00015292
302.25,-0.000152871
302.75,-0.000152821
303.25,-0.000152772
303.75,-0.000152722
304.25,-0.000152673
304.75,-0.000152625
305.25,-0.000152577
305.75,-0.00015253
306.25,-0.000152484
306.75,-0.000152439
307.25,-0.000152395
307.75,-0.000152348
308.25,-0.0001523
308.75,-0.00015225
309.25,-0.0001522
309.75,-0.000152149
310.25,-0.000152098
310.75,-0.000152046
311.25,-0.000151994
311.75,-0.000151943
312.25,-0.000151892
312.75,-0.000151842
313.25,-0.000151793
313.75,-0.000151744
314.25,-0.000151696
314.75,-0.000151647
315.25,-0.000151599
315.75,-0.000151551
316.25,-0.000151503
316.75,-0.000151455
317.25,-0.000151408
317.75,-0.000151361
318.25,-0.000151315
318.75,-0.00015127
319.25,-0.000151225
319.75,-0.000151182
320.25,-0.000151139
320.75,-0.000151098
321.25,-0.000151054
321.75,-0.000151008
322.25,-0.000150962
322.75,-0.000150914
323.25,-0.000150866
323.75,-0.000150818
324.25,-0.000150769
324.75,-0.00015072
325.25,-0.000150672
325.75,-0.000150624
326.25,-0.000150576
326.75,-0.000150529
327.25,-0.000150482
327.75,-0.000150435
328.25,-0.000150387
328.75,-0.00015034
329.25,-0.000150293
329.75,-0.000150246
330.25,-0.000150199
330.75,-0.000150153
331.25,-0.000150107
331.75,-0.000150063
332.25,-0.000150019
332.75,-0.000149976
333.25,-0.000149934
333.75,-0.000149893
334.25,-0.000149853
334.75,-0.000149814
335.25,-0.000149774
335.75,-0.000149732
336.25,-0.000149689
336.75,-0.000149644
337.25,-0.000149599
337.75,-0.000149553
338.25,-0.000149508
338.75,-0.000149462
339.25,-0.000149416
339.75,-0.00014937
340.25,-0.000149325
340.75,-0.000149279
341.25,-0.000149232
341.75,-0.000149186
342.25,-0.000149139
342.75,-0.000149092
343.25,-0.000149045
343.75,-0.000148999
344.25,-0.000148953
344.75,-0.000148908
345.25,-0.000148864
345.75,-0.00014882
346.25,-0.000148777
346.75,-0.000148736
347.25,-0.000148695
347.75,-0.000148655
348.25,-0.000148616
348.75,-0.000148578
349.25,-0.000148541
349.75,-0.000148505
350.25,-0.000148467
350.75,-0.000148428
351.25,-0.000148387
351.75,-0.000148346
352.25,-0.000148303
352.75,-0.00014826
353.25,-0.000148217
353.75,-0.000148174
354.25,-0.000148131
354.75,-0.000148087
355.25,-0.000148041
355.75,-0.000147996
356.25,-0.00014795
356.75,-0.000147904
357.25,-0.000147858
357.75,-0.000147812
358.25,-0.000147767
358.75,-0.000147722
359.25,-0.000147678
359.75,-0.000147635
360.25,-0.000147592
360.75,-0.000147551
361.25,-0.00014751
361.75,-0.00014747
362.25,-0.000147431
362.75,-0.000147393
363.25,-0.000147356
363.75,-0.000147321
364.25,-0.000147286
364.75,-0.000147251
365.25,-0.000147215
365.75,-0.000147178
366.25,-0.000147139
366.75,-0.000147099
367.25,-0.000147059
367.75,-0.000147018
368.25,-0.000146977
368.75,-0.000146935
369.25,-0.000146892
369.75,-0.000146848
370.25,-0.000146804
370.75,-0.000146759
371.25,-0.000146714
371.75,-0.000146669
372.25,-0.000146624
372.75,-0.00014658
373.25,-0.000146536
373.75,-0.000146492
374.25,-0.00014645
374.75,-0.000146407
375.25,-0.000146366
375.75,-0.000146326
376.25,-0.000146286
376.75,-0.000146248
377.25,-0.00014621
377.75,-0.000146174
378.25,-0.000146138
378.75,-0.000146104
379.25,-0.00014607
379.75,-0.000146038
380.25,-0.000146005
380.75,-0.00014597
381.25,-0.000145935
381.75,-0.000145898
382.25,-0.00014586
382.75,-0.000145821
383.25,-0.000145783
383.75,-0.000145743
384.25,-0.000145701
384.75,-0.000145659
385.25,-0.000145616
385.75,-0.000145573
386.25,-0.000145529
386.75,-0.000145485
387.25,-0.000145441
387.75,-0.000145398
388.25,-0.000145355
388.75,-0.000145312
389.25,-0.00014527
389.75,-0.000145228
390.25,-0.000145188
390.75,-0.000145148
391.25,-0.000145109
391.75,-0.000145071
392.25,-0.000145034
392.75,-0.000144998
393.25,-0.000144962
393.75,-0.000144928
394.25,-0.000144895
394.75,-0.000144863
395.25,-0.000144831
395.75,-0.000144801
396.25,-0.000144768
396.75,-0.000144734
397.25,-0.000144699
397.75,-0.000144663
398.25,-0.000144627
398.75,-0.00014459
399.25,-0.000144552
399.75,-0.000144512
400.25,-0.000144472
400.75,-0.00014443
401.25,-0.000144388
401.75,-0.000144346
402.25,-0.000144304
402.75,-0.000144261
403.25,-0.000144218
403.75,-0.000144176
404.25,-0.000144135
404.75,-0.000144093
405.25,-0.000144053
405.75,-0.000144013
406.25,-0.000143973
406.75,-0.000143935
407.25,-0.000143897
407.75,-0.000143861
408.25,-0.000143825
408.75,-0.00014379
409.25,-0.000143756
409.75,-0.000143723
410.25,-0.000143691
410.75,-0.000143661
411.25,-0.000143631
411.75,-0.000143601
412.25,-0.00014357
412.75,-0.000143538
413.25,-0.000143504
413.75,-0.00014347
414.25,-0.000143435
414.75,-0.000143399
415.25,-0.000143363
415.75,-0.000143326
416.25,-0.000143288
416.75,-0.000143249
417.25,-0.000143209
417.75,-0.000143168
418.25,-0.000143127
418.75,-0.000143086
419.25,-0.000143045
419.75,-0.000143004
420.25,-0.000142964
420.75,-0.000142924
421.25,-0.000142884
421.75,-0.000142845
422.25,-0.000142806
422.75,-0.000142769
423.25,-0.000142732
423.75,-0.000142696
424.25,-0.000142661
424.75,-0.000142626
425.25,-0.000142593
425.75,-0.00014256
426.25,-0.000142529
426.75,-0.000142498
427.25,-0.000142469
427.75,-0.00014244
428.25,-0.000142412
428.75,-0.000142382
429.25,-0.00014235
429.75,-0.000142318
430.25,-0.000142284
430.75,-0.00014225
431.25,-0.000142216
431.75,-0.000142181
432.25,-0.000142146
432.75,-0.000142109
433.25,-0.000142071
433.75,-0.000142033
434.25,-0.000141994
434.75,-0.000141954
435.25,-0.000141914
435.75,-0.000141874
436.25,-0.000141835
436.75,-0.000141795
437.25,-0.000141756
437.75,-0.000141717
438.25,-0.000141679
438.75,-0.000141642
439.25,-0.000141605
439.75,-0.000141569
440.25,-0.000141534
440.75,-0.0001415
441.25,-0.000141466
441.75,-0.000141433
442.25,-0.000141402
442.75,-0.000141371
443.25,-0.000141341
443.75,-0.000141312
444.25,-0.000141284
444.75,-0.000141256
445.25,-0.000141229
445.75,-0.0001412
446.25,-0.000141169
446.75,-0.000141138
447.25,-0.000141106
447.75,-0.000141073
448.25,-0.000141039
448.75,-0.000141005
449.25,-0.000140971
449.75,-0.000140936
450.25,-0.0001409
450.75,-0.000140862
451.25,-0.000140825
451.75,-0.000140786
452.25,-0.000140748
452.75,-0.000140709
453.25,-0.000140671
453.75,-0.000140632
454.25,-0.000140594
454.75,-0.000140557
455.25,-0.00014052
455.75,-0.000140483
456.25,-0.000140448
456.75,-0.000140413
457.25,-0.000140378
457.75,-0.000140345
458.25,-0.000140312
458.75,-0.000140281
459.25,-0.00014025
459.75,-0.00014022
460.25,-0.000140191
460.75,-0.000140162
461.25,-0.000140135
461.75,-0.000140108
462.25,-0.000140083
462.75,-0.000140056
463.25,-0.000140028
463.75,-0.000139999
464.25,-0.000139968
464.75,-0.000139937
465.25,-0.000139905
465.75,-0.000139873
466.25,-0.00013984
466.75,-0.000139807
467.25,-0.000139773
467.75,-0.000139737
468.25,-0.000139701
468.75,-0.000139664
469.25,-0.000139627
469.75,-0.000139589
470.25,-0.000139552
470.75,-0.000139514
471.25,-0.000139477
471.75,-0.00013944
472.25,-0.000139404
472.75,-0.000139368
473.25,-0.000139333
473.75,-0.000139298
474.25,-0.000139264
474.75,-0.000139231
475.25,-0.000139199
475.75,-0.000139167
476.25,-0.000139136
476.75,-0.000139106
477.25,-0.000139077
477.75,-0.000139049
478.25,-0.000139022
478.75,-0.000138995
479.25,-0.00013897
479.75,-0.000138945
480.25,-0.000138921
480.75,-0.000138895
481.25,-0.000138868
481.75,-0.000138839
482.25,-0.00013881
482.75,-0.00013878
483.25,-0.000138749
483.75,-0.000138718
484.25,-0.000138687
484.75,-0.000138655
485.25,-0.000138621
485.75,-0.000138586
