gen_time,drift_time,long_diffusion,trans_diffusion
0.0240093,2167.93,0.007077,0.012013
0.0261406,2167.93,0.007077,0.012013
0.0115821,2438.84,0.007077,0.012008
0.029957,1858.03,0.007077,0.01202
0.006771,2330.71,0.007077,0.012009
0.00553875,2167.93,0.007077,0.012013
0.0159907,2716.54,0.007076,0.011996
0.000645321,2013.3,0.007077,0.012016
0.0184142,2918.04,0.007076,0.011994
0.0226409,2438.84,0.007077,0.012008
0.0300691,1858.03,0.007077,0.01202
0.0289869,1858.03,0.007077,0.01202
0.00439536,2167.93,0.007077,0.012013
0.0100474,2438.84,0.007077,0.012008
0.028282,1858.03,0.007077,0.01202
0.00782272,2330.71,0.007077,0.012009
0.0218916,2438.84,0.007077,0.012008
0.000215127,2013.3,0.007077,0.012016
0.0115825,2438.84,0.007077,0.012008
0.0253677,2167.93,0.007077,0.012013
0.0221834,2438.84,0.007077,0.012008
0.0330527,1657.28,0.007078,0.012026
0.0161401,2716.54,0.007076,0.011996
0.02963,1858.03,0.007077,0.01202
0.0109879,2438.84,0.007077,0.012008
0.0137984,2716.54,0.007076,0.011996
0.0328973,1657.28,0.007078,0.012026
0.00612593,2330.71,0.007077,0.012009
0.0179529,2918.04,0.007076,0.011994
0.029551,1858.03,0.007077,0.01202
0.0125117,2438.84,0.007077,0.012008
0.0165398,2918.04,0.007076,0.011994
0.0214953,2438.84,0.007077,0.012008
0.0264209,2167.93,0.007077,0.012013
0.00988913,2438.84,0.007077,0.012008
0.00251905,2167.93,0.007077,0.012013
0.0130123,2716.54,0.007076,0.011996
0.0166451,2918.04,0.007076,0.011994
0.0140323,2716.54,0.007076,0.011996
0.00118952,2013.3,0.007077,0.012016
0.0316148,1657.28,0.007078,0.012026
0.00779291,2330.71,0.007077,0.012009
0.0340721,1657.28,0.007078,0.012026
0.0331264,1634.99,0.007078,0.012033
0.0310627,1807.42,0.007078,0.012027
0.023186,2325.72,0.007077,0.012014
0.0108787,2660.2,0.007076,0.012
0.00760363,2474.68,0.007077,0.012011
0.000261195,2190.79,0.007077,0.012017
0.0277365,2054.13,0.007077,0.01202
0.00204887,2325.72,0.007077,0.012014
0.0276836,2054.13,0.007077,0.01202
0.0329679,1807.42,0.007078,0.012027
0.0241816,2325.72,0.007077,0.012014
0.00304515,2325.72,0.007077,0.012014
0.0179606,3161.86,0.007076,0.011993
0.0212568,2660.2,0.007076,0.012
0.0215818,2660.2,0.007076,0.012
0.0207123,2660.2,0.007076,0.012
0.027667,2054.13,0.007077,0.01202
0.0089456,2660.2,0.007076,0.012
0.0283059,2054.13,0.007077,0.01202
0.0221018,2660.2,0.007076,0.012
0.029961,1807.42,0.007078,0.012027
0.0014483,2325.72,0.007077,0.012014
0.0195483,2660.2,0.007076,0.012
0.010045,2660.2,0.007076,0.012
0.0126361,2883.07,0.007076,0.011997
0.00464338,2474.68,0.007077,0.012011
0.0298219,1807.42,0.007078,0.012027
0.00679849,2474.68,0.007077,0.012011
0.0239752,2325.72,0.007077,0.012014
0.01736,3161.86,0.007076,0.011993
0.0174283,3161.86,0.007076,0.011993
0.0125783,2883.07,0.007076,0.011997
0.00966632,2660.2,0.007076,0.012
0.0286852,2054.13,0.007077,0.01202
0.00245623,2325.72,0.007077,0.012014
0.0339796,1634.99,0.007078,0.012033
0.0321073,1807.42,0.007078,0.012027
0.00937111,2660.2,0.007076,0.012
0.00567107,2474.68,0.007077,0.012011
0.0341081,1634.99,0.007078,0.012033
0.0193414,2660.2,0.007076,0.012
0.0296235,1807.42,0.007078,0.012027
0.0303939,1807.42,0.007078,0.012027
0.000714972,2190.79,0.007077,0.012017
0.0168397,3161.86,0.007076,0.011993
0.015702,3161.86,0.007076,0.011993
0.0102039,2660.2,0.007076,0.012
0.000731902,2190.79,0.007077,0.012017
0.0172089,3161.86,0.007076,0.011993
0.0067584,2474.68,0.007077,0.012011
0.0102577,2660.2,0.007076,0.012
0.0113586,2660.2,0.007076,0.012
0.0218775,2660.2,0.007076,0.012
0.00751133,2474.68,0.007077,0.012011
0.021321,2660.2,0.007076,0.012
0.00106837,2325.72,0.007077,0.012014
