initx_p,inity_p,initz_p,actx_ent,acty_ent,actz_ent,actx_exit,acty_exit,actz_exit,predx_ent,predy_ent,predz_ent,predx_exit,predy_exit,predz_exit
-0.582927,-0.467243,0.664741,-122.514,-102.909,142.379,-738.626,-809.628,975.727,-124.852,-100.059,142.367,-855.545,-685.024,975.213
-0.874419,0.334605,-0.351328,-150.458,54.4268,-60.0393,-1065.04,258.421,-408.615,-149.43,57.1911,-60.0399,-1023.45,392.124,-411.273
0.346186,-0.912446,0.218168,59.3775,-148.574,35.76,507.909,-971.172,245.644,56.7482,-149.598,35.7684,388.375,-1024.88,245.014
-0.863544,0.0331211,0.503185,-159.972,2.97168,93.1605,-1090.55,-108.993,640.487,-159.882,6.14282,93.1632,-1095.18,42.5014,638.168
-0.948171,-0.122558,-0.293174,-158.288,-23.3448,-49.0534,-1061.42,-272.8,-337.242,-158.681,-20.501,-49.0638,-1087.01,-140.053,-336.087
0.970204,-0.197677,0.1401,157.309,-29.2215,22.6396,1092.55,-86.4873,153.236,156.777,-31.9524,22.6393,1073.85,-219.236,155.079
0.431233,-0.425686,0.795506,141.682,-130.651,253.067,716.793,-514.559,1163.02,113.856,-112.413,210.053,779.492,-770.46,1438.87
0.182913,-0.973236,-0.139119,32.2669,-156.713,-22.4798,326.157,-1046.25,-154.352,29.5444,-157.249,-22.4777,202.016,-1077.22,-153.972
-0.494527,-0.161941,-0.853943,-216.44,-82.4776,-380.296,-610.394,-299.909,-1119.96,-152.06,-49.7763,-262.566,-1041.83,-340.299,-1798.58
0.959753,0.135325,-0.246091,158.016,25.1172,-40.6411,1059.15,281.509,-282.217,158.434,22.3297,-40.6239,1085.33,152.585,-278.274
0.437589,0.897751,0.050588,67.6328,145.003,8.0893,362.545,1034.29,54.6101,70.1123,143.82,8.10446,480.598,985.008,55.5155
-0.605584,-0.562945,0.56246,-114.913,-111.333,108.849,-687.866,-853.219,750.69,-117.195,-108.928,108.842,-803.086,-745.834,745.571
0.656846,-0.276629,0.701449,153.605,-60.2636,162.382,1066.15,-253.814,1083.34,147.452,-62.1129,157.47,1009.84,-425.946,1078.67
0.241276,0.715319,0.655823,47.6722,152.733,139.02,182.392,1080.65,960.014,51.1486,151.604,138.998,350.827,1038.33,952.137
0.0741445,-0.665906,-0.742342,24.1358,-172.815,-193.42,303.776,-1038.43,-1205.44,17.6921,-159.019,-177.27,120.648,-1089.34,-1214.3
-0.0256041,-0.977475,-0.209491,-1.38273,-159.994,-34.3172,99.5522,-1091.45,-238.495,-4.19896,-159.945,-34.2792,-29.1369,-1095.61,-234.813
0.278676,0.900607,-0.333535,44.5131,153.683,-56.6104,190.493,1079.24,-391.653,47.3057,152.847,-56.6071,324.415,1046.89,-387.759
0.452369,-0.581205,-0.676434,101.431,-124.265,-147.343,800.579,-748.486,-1012.04,98.2641,-126.27,-146.95,672.717,-865.256,-1006.61
-0.334678,0.814123,-0.474547,-63.6968,146.774,-86.2644,-547.15,949.59,-591.863,-60.8251,147.988,-86.2587,-416.267,1013.87,-590.872
0.569715,-0.222169,0.791243,180.062,-63.3738,247.056,877.044,-190.683,1166.25,149.061,-58.1447,207.029,1020.85,-398.849,1418.15
-0.954158,-0.148788,-0.2597,-157.628,-27.4487,-43.0279,-1053.64,-301.463,-295.15,-158.091,-24.6426,-43.0283,-1082.98,-168.428,-294.744
-0.916841,-0.306534,0.255811,-150.822,-53.4112,42.3394,-988.649,-472.875,290.206,-151.747,-50.7245,42.3384,-1039.58,-347.104,290.018
-0.0401784,-0.950976,0.306643,-3.88062,-159.953,51.5326,89.4696,-1092.26,353.232,-6.76351,-159.857,51.5461,-46.714,-1095,353.091
-0.335481,-0.939357,-0.0711352,-51.2326,-151.576,-11.406,-246.727,-1067.79,-78.9751,-53.8219,-150.676,-11.4105,-369.026,-1032.01,-78.1622
-0.708891,-0.269233,0.651911,-148.252,-60.1772,137.575,-946.089,-553.282,948.188,-149.58,-56.7967,137.553,-1024.79,-388.607,942.237
0.912453,-0.128327,0.388539,158.826,-19.3469,67.4772,1095.9,-13.5484,466.336,158.439,-22.2928,67.467,1085.25,-153.099,462.149
-0.656253,0.546651,0.520101,-124.965,99.9189,97.4418,-930.641,578.898,669.486,-122.929,102.413,97.4309,-841.792,701.856,667.402
-0.128586,0.454382,0.881477,-88.8583,253.763,502.136,-234.022,539.246,1100.41,-43.5489,153.959,298.663,-297.565,1054.83,2045.84
-0.877043,0.325988,0.352883,-150.971,52.9883,60.3521,-1067.39,248.466,417.488,-149.972,55.7535,60.3433,-1027.17,382.278,413.352
-0.989763,0.140992,0.0221486,-158.764,19.8459,3.54678,-1095.65,25.9189,22.865,-158.4,22.5733,3.54465,-1084.99,154.99,24.2809
-0.759682,-0.650253,-0.00742242,-119.756,-106.107,-1.17916,-741.741,-806.811,-9.26397,-121.558,-104.036,-1.18762,-832.913,-712.371,-8.13519
0.837507,0.258697,-0.481309,151.924,50.1913,-87.8648,995.242,459.017,-601.147,152.876,47.2109,-87.8551,1047.32,322.996,-601.808
-0.221081,0.765135,0.604724,-47.7087,152.722,121.494,-458.527,995.443,835.33,-44.403,153.715,121.486,-303.719,1053.08,832.181
-0.100311,0.794778,0.598553,-23.4319,158.275,119.558,-299.863,1054.13,824.979,-20.0237,158.742,119.549,-136.709,1087.44,818.908
-0.529855,-0.523657,0.66711,-111.168,-115.073,143.329,-644.596,-886.4,988.708,-113.809,-112.461,143.28,-779.939,-770.007,981.468
0.418376,0.900986,-0.114835,64.8762,146.257,-18.4933,339.497,1042.03,-128.211,67.3942,145.114,-18.4959,461.984,993.874,-126.697
-0.351251,-0.908179,0.227672,-55.0863,-150.218,37.4115,-267.917,-1062.7,255.844,-57.7246,-149.224,37.41,-395.764,-1022.05,256.258
-0.351251,-0.908179,0.227672,-34.8964,-1095.44,298.578,-34.8964,-1095.44,298.578,-57.7246,-149.224,37.41,-395.764,-1022.05,256.258
-0.351251,-0.908179,0.227672,130.307,210.989,433.817,130.307,210.989,433.817,-57.7246,-149.224,37.41,-395.764,-1022.05,256.258
-0.825678,-0.238266,-0.511357,-152.813,-47.4158,-95.2203,-1001.55,-444.933,-654.997,-153.73,-44.3509,-95.206,-1053.17,-303.395,-652.161
0.989397,-0.144928,-0.00945087,158.681,-20.5038,-1.49853,1095.51,-32.4162,-8.70237,158.309,-23.1985,-1.51221,1084.37,-159.272,-10.3586
0.510961,0.56273,-0.649811,104.871,120.839,-136.799,606.467,912.892,-940.451,107.566,118.446,-136.785,737.184,811.034,-936.978
0.62945,-0.657594,-0.41396,112.787,-113.486,-72.7814,854.204,-686.661,-500.526,110.629,-115.59,-72.7606,757.522,-792.071,-498.41
-0.172174,0.645915,-0.74374,-49.7399,167.617,-194.563,-452.963,978.059,-1204.59,-41.1971,154.605,-178.017,-281.671,1059.19,-1219.41
0.994018,0.0962155,0.0516797,158.968,18.1421,8.27958,1071.04,232.42,56.7052,159.257,15.406,8.27981,1090.94,105.166,56.7167
-0.631905,0.010386,0.774976,-184.526,-2.73507,226.308,-947.282,-139.64,1178.96,-159.978,2.64384,196.199,-1095.84,18.6891,1343.97
-0.210248,-0.60181,0.770467,-55.0249,-174.508,221.176,-166.763,-959.699,1182.52,-52.7835,-151.043,193.378,-362.109,-1034.45,1324.64
0.609843,0.631437,0.478936,108.883,117.237,87.297,647.531,884.242,596.446,111.16,115.081,87.2926,761.742,788.013,597.954
0.524948,0.521866,0.672374,110.833,115.395,145.361,645.422,885.785,1001.06,113.478,112.795,145.337,777.675,772.293,995.555
-0.984567,0.15877,0.0736214,-158.373,22.7594,11.8087,-1094.97,45.5789,78.5391,-157.958,25.4813,11.8115,-1081.95,174.909,80.9087
0.468835,0.856776,0.214777,74.3371,141.683,35.18,406.41,1017.85,242.241,76.8143,140.355,35.1854,526.506,961.253,241.02
-0.0474642,0.720653,0.691669,-14.6547,162.465,156.237,-249.126,1067.3,1055.67,-10.5027,159.655,153.233,-71.4377,1093.67,1049.65
-0.594184,-0.797511,-0.104506,-93.3663,-129.934,-16.8304,-547.895,-949.193,-115.193,-95.6002,-128.299,-16.813,-655.156,-878.628,-115.169
0.353045,0.778599,0.51879,63.1472,147.012,97.0994,311.376,1050.76,664.285,66.0842,145.715,97.0946,453.066,997.971,665.098
0.815008,-0.41426,-0.405155,143.964,-69.8172,-70.9096,1032.37,-367.977,-484.22,142.628,-72.5074,-70.905,976.819,-497.032,-485.699
-0.859452,-0.321565,0.397414,-148.784,-58.849,69.3063,-968.373,-513.228,479.951,-149.858,-56.059,69.2933,-1026.67,-383.63,474.659
0.368721,0.614154,-0.697753,81.0919,142.879,-160.039,402.896,1019.22,-1072.15,82.3678,137.17,-155.849,564.657,939.35,-1067.57
-0.688583,-0.474036,-0.548765,-129.923,-93.3814,-105.038,-809.507,-738.806,-725.057,-131.796,-90.7181,-105.03,-903.052,-621.058,-719.453
0.920231,0.294834,0.257388,151.483,51.5063,42.6175,996.327,456.585,293.18,152.373,48.8092,42.6179,1043.87,333.983,291.932
-0.383642,0.920252,0.0771692,-64.0995,146.599,12.3839,-536.487,955.648,85.7287,-61.5578,147.684,12.384,-421.332,1011.78,84.8304
0.709441,-0.699167,-0.088658,115.875,-110.331,-14.2308,866.233,-671.432,-97.2579,113.953,-112.315,-14.2414,780.319,-769.622,-97.5534
-0.309491,-0.852988,-0.42027,-51.7352,-151.405,-74.0845,-239.236,-1069.54,-509.306,-54.5814,-150.402,-74.1054,-374.262,-1030.12,-507.622
-0.459262,-0.175809,-0.870729,-229.802,-102.684,-445.972,-546.814,-299.886,-1107.96,-149.432,-57.1839,-283.301,-1023.88,-391.015,-1940.61
0.507515,0.759676,-0.406596,86.3755,134.682,-71.2139,486.373,982.13,-491.915,88.8893,133.036,-71.2071,609.225,911.077,-487.769
0.318064,0.942571,-0.101956,48.5424,152.459,-16.402,226.046,1072.34,-112.962,51.1654,151.598,-16.3984,350.832,1038.33,-112.329
-0.310613,-0.354864,0.881811,-164.807,-213.269,504.286,-324.254,-489.048,1100.18,-105.396,-120.382,299.171,-722.545,-824.102,2049.32
-0.664596,0.210553,-0.716924,-161.667,46.6653,-173.059,-1085.54,150.998,-1131.46,-152.524,48.3356,-164.538,-1044.63,331.599,-1127.08
-0.731115,-0.284538,-0.620088,-147.809,-61.2587,-126.457,-949.264,-547.758,-874.461,-149.11,-58.0186,-126.463,-1021.57,-396.993,-866.269
-0.0820919,0.974354,-0.209513,-16.2162,159.176,-34.2799,-222.786,1073.09,-235.959,-13.4235,159.436,-34.283,-91.5783,1092.17,-234.838
0.68249,0.0133285,0.730773,171.325,7.94477,183.664,1075.82,209.324,1179.55,159.97,3.1107,171.287,1095.8,20.7724,1173.31
0.368116,-0.724486,0.582762,75.4627,-141.086,114.739,631.891,-895.422,793.472,72.4677,-142.648,114.739,496.002,-977.342,785.963
0.910374,-0.41288,0.027382,146.827,-63.5761,4.40521,1044.77,-331.056,29.2225,145.711,-66.0938,4.38276,997.967,-453.076,30.0219
0.112672,-0.953806,-0.278493,21.5958,-158.536,-46.3941,262.902,-1063.92,-319.713,18.7607,-158.896,-46.3942,128.132,-1088.48,-317.801
-0.450169,-0.400843,0.797918,-140.221,-133.791,256.606,-554.124,-675.135,1161.07,-119.504,-106.39,211.802,-819.008,-728.315,1450.84
0.489716,-0.869062,0.070069,80.9179,-138.03,11.2408,645.938,-885.368,77.822,78.5397,-139.397,11.2387,537.677,-955.049,76.9849
-0.11376,0.693048,-0.711859,-31.2659,164.215,-169.453,-355.503,1036.7,-1116.16,-25.9035,157.889,-162.173,-176.925,1081.63,-1110.88
-0.644286,-0.683763,-0.342584,-107.587,-118.427,-58.3493,-644.21,-886.651,-404.198,-109.733,-116.442,-58.344,-751.951,-797.361,-399.656
0.751035,0.00762037,-0.660218,159.913,5.27815,-140.677,1079.46,189.606,-968.087,159.992,1.6112,-140.645,1095.95,10.5496,-963.42
-0.500969,0.474461,0.723821,-126.345,113.485,178.169,-912.279,607.387,1154.98,-116.16,110.032,167.846,-795.329,754.101,1149.74
-0.448493,0.152268,-0.88072,-258.09,70.6006,-497.889,-579.081,113.781,-1100.87,-151.5,51.4562,-297.518,-1037.53,353.206,-2038
0.130441,0.795814,-0.591324,22.5116,158.408,-117.336,17.7847,1095.79,-805.536,25.8913,157.891,-117.321,177.803,1081.48,-803.651
0.805295,0.268659,-0.528509,150.73,53.6695,-99.6435,982.471,485.693,-684.479,151.78,50.6248,-99.6096,1039.83,346.371,-682.326
0.792467,0.135654,-0.594638,157.094,30.3543,-118.33,1042.25,338.974,-812.942,157.708,26.9847,-118.337,1080.38,184.397,-810.607
0.616712,-0.556751,0.556502,120.94,-104.755,107.162,910.318,-610.235,743.043,118.756,-107.224,107.168,813.182,-734.814,734.103
-0.577919,-0.772532,-0.263066,-93.558,-129.796,-43.6296,-544.929,-950.899,-297.843,-95.8505,-128.112,-43.6272,-656.879,-877.34,-298.846
-0.378919,-0.463776,0.800832,-118.097,-155.37,261.019,-436.603,-745.052,1158.98,-101.244,-123.893,213.952,-693.997,-848.283,1465.57
0.550942,-0.811949,-0.192878,92.1287,-130.814,-31.4621,719.071,-827.029,-218.267,89.83,-132.403,-31.451,615.027,-907.17,-215.439
-0.828937,0.336307,-0.446946,-149.386,57.3043,-79.9401,-1061.04,274.55,-550.989,-148.259,60.1608,-79.9402,-1015.42,412.481,-547.591
-0.0407194,0.953652,0.298143,-9.68887,159.706,49.979,-181.959,1080.7,342.678,-6.81596,159.855,49.9758,-46.3064,1095.02,342.334
-0.582236,-0.798512,0.152903,-92.0217,-130.889,24.7552,-536.639,-955.626,169.192,-94.2737,-129.277,24.7556,-646.074,-885.328,169.576
0.413087,0.109772,0.904052,307.857,109.39,691.345,473.586,193.493,1084.17,154.639,41.0708,338.419,1059.5,280.508,2318.17
-0.940308,0.0818869,-0.330325,-159.622,10.9929,-56.0013,-1095.18,-41.1642,-386.544,-159.396,13.8907,-55.9952,-1091.83,95.5376,-383.567
-0.532401,0.141741,-0.834541,-209.8,46.58,-325.626,-741.216,85.6313,-1134.03,-154.61,41.1789,-242.359,-1058.91,282.717,-1660.16
-0.430326,-0.835768,0.341045,-70.6405,-143.562,58.0307,-378.377,-1028.53,394.629,-73.2519,-142.247,58.0474,-502.122,-974.212,397.624
-0.975451,-0.0727182,0.207864,-159.325,-14.6823,34.0044,-1075.4,-211.031,234.179,-159.558,-11.8854,34.0008,-1093,-81.0421,232.906
0.728828,-0.651764,-0.209793,121.117,-104.55,-34.3396,897.528,-628.927,-236.836,119.26,-106.663,-34.3309,816.685,-730.918,-235.167
0.728828,-0.651764,-0.209793,913.653,-605.355,-221.827,913.653,-605.355,-221.827,119.26,-106.663,-34.3309,816.685,-730.918,-235.167
0.728828,-0.651764,-0.209793,-14.923,210.224,-312.031,-14.923,210.224,-312.031,119.26,-106.663,-34.3309,816.685,-730.918,-235.167
-0.690348,-0.610764,0.387798,-117.84,-108.23,67.3263,-722.515,-824.091,465.138,-119.84,-106.011,67.3155,-821.166,-725.88,461.111
-0.820437,-0.336319,-0.462356,-146.846,-63.5313,-83.4372,-948.794,-548.612,-574.484,-148.048,-60.6776,-83.43,-1014.29,-415.26,-571.495
-0.345755,-0.661294,-0.66569,-70.8577,-143.454,-142.753,-350.544,-1038.36,-983.426,-74.1447,-141.783,-142.732,-508.326,-970.99,-977.711
-0.339512,0.867433,0.363718,-61.033,147.902,62.5006,-524.088,962.514,424.887,-58.3069,148.998,62.4738,-399.037,1020.78,427.945
0.813617,0.174024,0.554746,155.739,36.6791,106.683,1028.1,379.731,729.351,156.463,33.4547,106.679,1071.87,228.735,730.753
-0.620968,-0.285956,-0.729814,-153.674,-75.835,-183.199,-902.094,-622.377,-1177.06,-145.336,-66.9128,-170.805,-995.778,-457.867,-1170.01
-0.193213,0.804498,-0.56165,-40.5864,154.767,-108.595,-411.399,1015.78,-746.758,-37.3533,155.579,-108.614,-255.44,1065.82,-744.003
0.642806,-0.543174,-0.540151,124.289,-100.759,-102.702,926.365,-585.677,-713.031,122.204,-103.277,-102.694,836.817,-707.781,-703.455
0.522961,-0.715008,0.463978,96.9223,-127.303,83.7968,756.922,-792.624,577.913,94.4479,-129.15,83.8028,646.635,-884.918,574.049
-0.709131,0.700244,-0.0824048,-115.753,110.459,-13.2638,-864.124,674.111,-89.2846,-113.842,112.428,-13.2298,-779.558,770.393,-90.6239
0.968214,-0.243411,0.057564,155.815,-36.3549,9.22053,1087.33,-137.417,64.6835,155.169,-39.0193,9.22553,1062.82,-267.638,63.1949
0.890015,-0.426322,0.161624,145.472,-66.6168,26.2109,1037.34,-353.467,179.854,144.296,-69.1286,26.2043,988.265,-473.865,179.499
0.631439,0.464117,0.621193,126.823,97.5492,126.823,774.854,775.123,872.971,128.928,94.7497,126.829,883.435,648.659,868.782
0.641058,0.649885,0.408281,110.202,115.998,71.5667,662.501,873.026,491.777,112.368,113.901,71.5611,770.006,779.94,490.193
0.727265,-0.583571,-0.361289,126.602,-97.8357,-62.0105,934.229,-572.951,-422.69,124.785,-100.143,-61.9937,854.535,-686.284,-424.657
-0.984286,0.046675,0.170299,-159.928,4.81545,27.6568,-1093.17,-77.9541,190.098,-159.82,7.58797,27.6518,-1094.75,52.3484,189.415
0.806667,-0.0664159,-0.587263,159.702,-9.76223,-116.096,1093.87,67.2427,-792.071,159.46,-13.1402,-116.089,1092.26,-90.461,-795.21
-0.844089,0.337749,-0.416461,-149.641,56.6351,-73.2904,-1061.9,271.101,-502.559,-148.546,59.4491,-73.2921,-1017.39,407.6,-502.051
0.143254,-0.849405,-0.507927,29.7397,-157.212,-94.3475,329.906,-1045.16,-654.474,26.5982,-157.774,-94.3445,181.779,-1080.82,-646.26
0.610721,0.18133,-0.770804,173.83,57.4838,-221.54,874.742,425.456,-1182.21,153.386,45.5272,-193.587,1050.86,311.31,-1326.07
0.837806,-0.018863,0.545642,160,-0.335787,104.183,1088.34,128.911,712.752,159.959,-3.61234,104.178,1095.71,-25.181,713.616
-0.311843,-0.838972,-0.445959,-52.8817,-151.008,-79.7133,-242.707,-1068.7,-545.273,-55.7547,-149.971,-79.7197,-382.303,-1027.16,-546.08
0.807865,-0.587709,0.0441842,130.978,-91.8951,7.0769,956.421,-535.204,48.5541,129.379,-94.1328,7.07638,886.033,-645.106,48.4732
