gen_time,drift_time,long_diffusion,trans_diffusion
0.0301807,2310.81,0.007077,0.012014
0.00197032,1497.4,0.007078,0.012026
0.00467011,2038,0.007077,0.012021
0.000769053,1497.4,0.007078,0.012026
0.0159734,3439.87,0.007076,0.011994
0.00236973,1827.4,0.007078,0.012027
0.00862691,2310.81,0.007077,0.012014
0.0297688,2491.08,0.007077,0.012015
0.0171622,3439.87,0.007076,0.011994
0.0247206,2805.79,0.007077,0.012009
0.0199975,3010.18,0.007076,0.012001
0.023256,2805.79,0.007077,0.012009
0.0310399,2310.81,0.007077,0.012014
0.0233545,2805.79,0.007077,0.012009
0.00913348,2310.81,0.007077,0.012014
0.0194037,3010.18,0.007076,0.012001
0.00976876,2310.81,0.007077,0.012014
0.013281,2931.46,0.007076,0.012003
0.0238375,2805.79,0.007077,0.012009
0.00437561,2038,0.007077,0.012021
0.0148702,3439.87,0.007076,0.011994
0.00998754,2310.81,0.007077,0.012014
0.0243756,2805.79,0.007077,0.012009
0.027567,2639.39,0.007077,0.012012
0.00268386,1827.4,0.007078,0.012027
0.00182114,1497.4,0.007078,0.012026
0.0102968,2310.81,0.007077,0.012014
0.00750268,2310.81,0.007077,0.012014
0.0303283,2310.81,0.007077,0.012014
0.0301048,2310.81,0.007077,0.012014
0.0109938,2624.48,0.007077,0.012008
0.015428,3439.87,0.007076,0.011994
0.00101402,1497.4,0.007078,0.012026
0.0220134,2805.79,0.007077,0.012009
0.0163549,3439.87,0.007076,0.011994
0.0300316,2491.08,0.007077,0.012015
0.0316308,2310.81,0.007077,0.012014
0.0133382,2931.46,0.007076,0.012003
0.012222,2931.46,0.007076,0.012003
0.0029248,1827.4,0.007078,0.012027
0.0309154,2310.81,0.007077,0.012014
0.0173919,3439.87,0.007076,0.011994
0.0281859,2639.39,0.007077,0.012012
0.0275602,2639.39,0.007077,0.012012
0.00380164,2038,0.007077,0.012021
0.00998474,2310.81,0.007077,0.012014
0.025072,2805.79,0.007077,0.012009
0.00261141,1827.4,0.007078,0.012027
0.00838475,2310.81,0.007077,0.012014
0.00153501,1497.4,0.007078,0.012026
0.00957751,2310.81,0.007077,0.012014
0.0249691,1986.54,0.007077,0.012012
0.00621365,1467.77,0.007076,0.012005
0.0299802,1849.83,0.007077,0.012015
0.0312445,1849.83,0.007077,0.012015
0.0181121,2067.83,0.007076,0.012002
0.031325,1849.83,0.007077,0.012015
0.0167671,2254.07,0.007076,0.012
0.000127416,1047.48,0.007076,0.012006
0.0173717,2067.83,0.007076,0.012002
0.00701364,1806.93,0.007076,0.011998
0.0252379,1986.54,0.007077,0.012012
0.0102981,2192.38,0.007076,0.011993
0.0255862,1986.54,0.007077,0.012012
0.0230053,2172.57,0.007077,0.012008
0.00742222,1806.93,0.007076,0.011998
0.00751017,1806.93,0.007076,0.011998
0.0117968,2192.38,0.007076,0.011993
0.0105227,2192.38,0.007076,0.011993
0.00415191,1279.57,0.007076,0.011999
0.0186601,2067.83,0.007076,0.012002
0.0229112,2172.57,0.007077,0.012008
0.00503093,1467.77,0.007076,0.012005
0.00811135,1806.93,0.007076,0.011998
0.0106469,2192.38,0.007076,0.011993
0.0123611,2192.38,0.007076,0.011993
0.0284973,1849.83,0.007077,0.012015
0.00101423,1047.48,0.007076,0.012006
0.0280247,1986.54,0.007077,0.012012
0.00807175,1806.93,0.007076,0.011998
0.0245314,2172.57,0.007077,0.012008
0.0109194,2192.38,0.007076,0.011993
0.0231941,2172.57,0.007077,0.012008
0.0148469,2254.07,0.007076,0.012
0.0177616,2067.83,0.007076,0.012002
0.0257628,1986.54,0.007077,0.012012
0.00738516,1806.93,0.007076,0.011998
0.0310793,1849.83,0.007077,0.012015
0.0300287,1849.83,0.007077,0.012015
0.0114373,2192.38,0.007076,0.011993
0.0132655,2192.38,0.007076,0.011993
0.0254589,1986.54,0.007077,0.012012
0.0304436,1849.83,0.007077,0.012015
0.00998245,1806.93,0.007076,0.011998
0.000107837,1047.48,0.007076,0.012006
0.0186837,2067.83,0.007076,0.012002
0.0313216,1849.83,0.007077,0.012015
0.0136255,2477.97,0.007076,0.011997
0.00685382,1806.93,0.007076,0.011998
0.00434176,1467.77,0.007076,0.012005
0.00851946,1806.93,0.007076,0.011998
0.0171096,2254.07,0.007076,0.012
0.0215824,1874.62,0.007076,0.012006
0.0306078,1849.83,0.007077,0.012015
0.0249402,1986.54,0.007077,0.012012
0.0188212,2067.83,0.007076,0.012002
0.00918221,1806.93,0.007076,0.011998
0.0230499,2172.57,0.007077,0.012008
0.0275237,1986.54,0.007077,0.012012
0.0229068,2172.57,0.007077,0.012008
0.0187844,2067.83,0.007076,0.012002
0.00353523,1279.57,0.007076,0.011999
0.00283469,1047.48,0.007076,0.012006
0.0180095,2067.83,0.007076,0.012002
0.0315722,1849.83,0.007077,0.012015
0.0187865,2067.83,0.007076,0.012002
0.0104128,2192.38,0.007076,0.011993
0.0146798,2254.07,0.007076,0.012
0.00763664,1806.93,0.007076,0.011998
0.00619513,1467.77,0.007076,0.012005
0.00862291,1806.93,0.007076,0.011998
0.021197,1874.62,0.007076,0.012006
0.011815,2192.38,0.007076,0.011993
0.0126111,2192.38,0.007076,0.011993
0.0251428,1986.54,0.007077,0.012012
0.0168871,2254.07,0.007076,0.012
0.0232836,2172.57,0.007077,0.012008
0.032441,2038,0.007077,0.012021
0.00539441,1467.77,0.007076,0.012005
0.0221545,1874.62,0.007076,0.012006
0.0260644,1986.54,0.007077,0.012012
0.00149521,1047.48,0.007076,0.012006
0.0067608,1806.93,0.007076,0.011998
0.0204269,2067.83,0.007076,0.012002
0.0324448,2038,0.007077,0.012021
0.0263589,1986.54,0.007077,0.012012
0.015564,2254.07,0.007076,0.012
0.00474915,1467.77,0.007076,0.012005
0.0139149,2254.07,0.007076,0.012
0.000460233,1047.48,0.007076,0.012006
0.0292688,1849.83,0.007077,0.012015
0.0112835,2192.38,0.007076,0.011993
0.0318471,1849.83,0.007077,0.012015
0.00686593,1806.93,0.007076,0.011998
0.00698945,1806.93,0.007076,0.011998
0.0236947,2172.57,0.007077,0.012008
0.0100538,1806.93,0.007076,0.011998
0.0096979,1806.93,0.007076,0.011998
0.0193679,2067.83,0.007076,0.012002
0.0134984,2477.97,0.007076,0.011997
0.0275103,1986.54,0.007077,0.012012
0.00754951,1806.93,0.007076,0.011998
0.0277835,1986.54,0.007077,0.012012
0.0221389,1874.62,0.007076,0.012006
0.0136104,2477.97,0.007076,0.011997
0.0105094,2192.38,0.007076,0.011993
0.0199863,2067.83,0.007076,0.012002
0.0281698,2475.8,0.007077,0.012011
0.021502,3006.9,0.007076,0.011998
0.0221755,3006.9,0.007076,0.011998
0.00179085,1827.4,0.007078,0.012027
0.0150384,3439.87,0.007076,0.011994
0.0270889,2475.8,0.007077,0.012011
0.00438145,2038,0.007077,0.012021
0.00437341,2038,0.007077,0.012021
0.01496,2931.46,0.007076,0.012003
0.0242717,2805.79,0.007077,0.012009
0.00362903,1827.4,0.007078,0.012027
0.00938196,2656.97,0.007077,0.01201
0.00302792,1827.4,0.007078,0.012027
0.0178444,3258.85,0.007076,0.011995
0.0102306,2656.97,0.007077,0.01201
0.00620842,2038,0.007077,0.012021
0.0154884,3439.87,0.007076,0.011994
0.0301188,2310.81,0.007077,0.012014
0.0202968,3006.9,0.007076,0.011998
0.00799326,2310.81,0.007077,0.012014
0.0322386,2310.81,0.007077,0.012014
0.0313782,2310.81,0.007077,0.012014
0.0116138,2931.46,0.007076,0.012003
0.0180062,3258.85,0.007076,0.011995
0.0166753,3439.87,0.007076,0.011994
0.0141563,2931.46,0.007076,0.012003
0.00161836,1827.4,0.007078,0.012027
0.0174066,3258.85,0.007076,0.011995
0.0065081,2038,0.007077,0.012021
0.000565782,1827.4,0.007078,0.012027
0.00457861,2038,0.007077,0.012021
0.00374519,1827.4,0.007078,0.012027
0.0318318,2310.81,0.007077,0.012014
0.00168365,1827.4,0.007078,0.012027
0.00426833,2038,0.007077,0.012021
0.0299275,2310.81,0.007077,0.012014
0.0170371,3439.87,0.007076,0.011994
0.0311596,2310.81,0.007077,0.012014
0.0295507,2310.81,0.007077,0.012014
0.00247885,1827.4,0.007078,0.012027
0.0069274,2038,0.007077,0.012021
0.0126007,2931.46,0.007076,0.012003
0.0060956,2038,0.007077,0.012021
0.0324575,2310.81,0.007077,0.012014
0.0208264,3006.9,0.007076,0.011998
0.0239685,2805.79,0.007077,0.012009
0.0188063,3006.9,0.007076,0.011998
0.0129757,2931.46,0.007076,0.012003
0.0290921,2475.8,0.007077,0.012011
0.00132891,1827.4,0.007078,0.012027
0.0114991,2931.46,0.007076,0.012003
0.0192738,3006.9,0.007076,0.011998
0.0301572,2310.81,0.007077,0.012014
0.00194896,1827.4,0.007078,0.012027
0.00666937,2038,0.007077,0.012021
0.021664,3006.9,0.007076,0.011998
0.0272932,2475.8,0.007077,0.012011
0.019444,3006.9,0.007076,0.011998
0.0139489,2931.46,0.007076,0.012003
0.01763,3258.85,0.007076,0.011995
0.0245009,2805.79,0.007077,0.012009
0.0263464,2639.39,0.007077,0.012012
5.75638e-05,1634.83,0.007078,0.012033
0.023772,2805.79,0.007077,0.012009
0.0196184,3006.9,0.007076,0.011998
0.0323979,2310.81,0.007077,0.012014
0.00226006,1827.4,0.007078,0.012027
0.0154431,3439.87,0.007076,0.011994
0.0248528,2805.79,0.007077,0.012009
0.0252978,2805.79,0.007077,0.012009
0.0167835,3439.87,0.007076,0.011994
0.0325549,2310.81,0.007077,0.012014
0.0208925,3006.9,0.007076,0.011998
0.00844483,2656.97,0.007077,0.01201
0.0120448,2931.46,0.007076,0.012003
