============= Kalman Filter Processing ===========
Initializing GenFit field
>>> Track = 105, hits = 55, fitted = 1, converged = 1, chi2 = 110.022, ndf = 105, X2v = 1.04783
>>> Track = 106, hits = 55, fitted = 1, converged = 1, chi2 = 110.027, ndf = 105, X2v = 1.04788
>>> Track = 107, hits = 47, fitted = 1, converged = 1, chi2 = 94.0117, ndf = 89, X2v = 1.05631
>>> Track = 108, hits = 20, fitted = 1, converged = 1, chi2 = 40.0031, ndf = 35, X2v = 1.14295
>>> Track = 109, hits = 13, fitted = 1, converged = 1, chi2 = 26.0019, ndf = 21, X2v = 1.23819
>>> Track = 110, hits = 55, fitted = 1, converged = 1, chi2 = 110.018, ndf = 105, X2v = 1.04779
>>> Track = 111, hits = 55, fitted = 1, converged = 1, chi2 = 110.02, ndf = 105, X2v = 1.04781
>>> Track = 112, hits = 48, fitted = 1, converged = 1, chi2 = 96.0112, ndf = 91, X2v = 1.05507
>>> Track = 113, hits = 55, fitted = 1, converged = 1, chi2 = 110.021, ndf = 105, X2v = 1.04782
>>> Track = 115, hits = 55, fitted = 1, converged = 1, chi2 = 110.024, ndf = 105, X2v = 1.04785
>>> Track = 116, hits = 55, fitted = 1, converged = 1, chi2 = 110.025, ndf = 105, X2v = 1.04786
>>> Track = 117, hits = 55, fitted = 1, converged = 1, chi2 = 110.02, ndf = 105, X2v = 1.04781
>>> Track = 118, hits = 55, fitted = 1, converged = 1, chi2 = 110.022, ndf = 105, X2v = 1.04783
>>> Track = 119, hits = 55, fitted = 1, converged = 1, chi2 = 110.019, ndf = 105, X2v = 1.0478
>>> Track = 120, hits = 55, fitted = 1, converged = 1, chi2 = 110.025, ndf = 105, X2v = 1.04785
>>> Track = 121, hits = 55, fitted = 1, converged = 1, chi2 = 110.027, ndf = 105, X2v = 1.04788
>>> Track = 122, hits = 55, fitted = 1, converged = 1, chi2 = 110.024, ndf = 105, X2v = 1.04785
>>> Track = 123, hits = 23, fitted = 1, converged = 1, chi2 = 46.0041, ndf = 41, X2v = 1.12205
>>> Track = 124, hits = 55, fitted = 1, converged = 1, chi2 = 110.026, ndf = 105, X2v = 1.04787
>>> Track = 125, hits = 55, fitted = 1, converged = 1, chi2 = 110.025, ndf = 105, X2v = 1.04785
>>> Track = 126, hits = 40, fitted = 1, converged = 1, chi2 = 80.0101, ndf = 75, X2v = 1.0668
>>> Track = 127, hits = 55, fitted = 1, converged = 1, chi2 = 110.016, ndf = 105, X2v = 1.04778
>>> Track = 129, hits = 55, fitted = 1, converged = 1, chi2 = 110.024, ndf = 105, X2v = 1.04785
>>> Track = 130, hits = 55, fitted = 1, converged = 1, chi2 = 110.019, ndf = 105, X2v = 1.0478
